Time,Vab,Vbc,Ia1,Ia2
0.0,390.90463,-390.90463,-72.76552,-76.49806
1e-06,0.0,0.0,-70.18619,-76.45733
2e-06,0.0,0.0,-71.264336,-76.416664
3e-06,0.0,0.0,-69.6198,-76.37603
4e-06,0.0,0.0,-68.74559,-76.335434
5e-06,0.0,0.0,-67.87185,-76.29479
6e-06,0.0,0.0,-66.99863,-76.25413
7e-06,0.0,0.0,-66.12598,-76.21336
8e-06,0.0,0.0,-65.25396,-76.172516
9e-06,0.0,-408.7484,-64.38263,-76.13153
1e-05,0.0,-408.74765,-65.66825,-76.09043
1.1e-05,0.0,-408.74713,-66.934494,-76.04925
1.2e-05,0.0,-408.7466,-67.76853,-76.00803
1.3e-05,0.0,-408.7461,-68.603195,-75.9668
1.4e-05,0.0,-408.74554,-69.43841,-75.92559
1.5e-05,0.0,-408.745,-70.274124,-75.88443
1.6e-05,0.0,-408.74445,-71.11028,-75.84336
1.7e-05,0.0,-408.7439,-71.94682,-75.80238
1.8e-05,0.0,-408.74332,-72.78368,-75.76156
1.9e-05,0.0,-408.7427,-73.620804,-75.720894
2e-05,0.0,-408.74213,-74.45812,-75.68043
2.1e-05,408.74194,-408.74194,-75.295586,-75.64018
2.2e-05,0.0,0.0,-72.7102,-75.600136
2.3e-05,0.0,0.0,-73.84821,-75.560265
2.4e-05,0.0,0.0,-72.290474,-75.520546
2.5e-05,0.0,0.0,-71.42527,-75.48097
2.6e-05,0.0,0.0,-70.56029,-75.441475
2.7e-05,0.0,0.0,-69.69558,-75.40206
2.8e-05,0.0,0.0,-68.83121,-75.36267
2.9e-05,0.0,0.0,-67.96722,-75.3233
3e-05,0.0,0.0,-67.10368,-75.283905
3.1e-05,0.0,0.0,-66.24064,-75.24447
3.2e-05,0.0,0.0,-65.37817,-75.204956
3.3e-05,0.0,0.0,-64.5163,-75.165344
3.4e-05,0.0,0.0,-63.6551,-75.125595
3.5e-05,0.0,0.0,-62.794632,-75.0857
3.6e-05,0.0,0.0,-61.93494,-75.045616
3.7e-05,0.0,0.0,-61.07609,-75.00533
3.8e-05,408.74484,-408.74484,-60.218132,-74.964806
3.9e-05,0.0,-408.74442,-58.292908,-74.923996
4e-05,0.0,-408.74347,-59.754433,-74.88291
4.1e-05,0.0,-408.74298,-61.43282,-74.84158
4.2e-05,0.0,-408.7425,-62.282074,-74.80008
4.3e-05,0.0,-408.74197,-63.132244,-74.75842
4.4e-05,0.0,-408.74146,-63.98326,-74.716644
4.5e-05,0.0,-408.74094,-64.83507,-74.674774
4.6e-05,0.0,-408.74042,-65.68761,-74.63284
4.7e-05,0.0,-408.73987,-66.54082,-74.59089
4.8e-05,0.0,-408.73932,-67.39463,-74.548935
4.9e-05,0.0,-408.73874,-68.24899,-74.50701
5e-05,0.0,-408.73816,-69.103836,-74.46515
5.1e-05,0.0,0.0,-69.95911,-74.423386
5.2e-05,0.0,0.0,-68.37614,-74.3817
5.3e-05,0.0,0.0,-66.8002,-74.34004
5.4e-05,0.0,0.0,-65.953476,-74.29838
5.5e-05,0.0,0.0,-65.10727,-74.256676
5.6e-05,0.0,0.0,-64.26163,-74.21491
5.7e-05,0.0,0.0,-63.41661,-74.17306
5.8e-05,0.0,0.0,-62.572273,-74.13108
5.9e-05,390.91507,-390.91507,-61.728664,-74.08897
6e-05,0.0,-390.91464,-59.78007,-74.04665
6.1e-05,0.0,-390.91364,-61.456696,-74.00416
6.2e-05,0.0,-390.91312,-63.0156,-73.96152
6.3e-05,0.0,-390.91257,-63.804256,-73.91879
6.4e-05,0.0,-390.91202,-64.59366,-73.876
6.5e-05,0.0,-390.91147,-65.38374,-73.833176
6.6e-05,0.0,-390.91092,-66.17446,-73.79034
6.7e-05,0.0,-390.91037,-66.96576,-73.74752
6.8e-05,0.0,-390.9098,-67.75757,-73.70476
6.9e-05,0.0,-390.9092,-68.549835,-73.66207
7e-05,0.0,-390.9086,-69.34251,-73.61949
7.1e-05,0.0,-390.90802,-70.13553,-73.57705
7.2e-05,0.0,0.0,-70.92884,-73.53476
7.3e-05,0.0,0.0,-69.50655,-73.49262
7.4e-05,0.0,0.0,-68.05341,-73.45059
7.5e-05,0.0,0.0,-67.21863,-73.40862
7.6e-05,0.0,0.0,-66.38421,-73.3667
7.7e-05,0.0,0.0,-65.55021,-73.32478
7.8e-05,0.0,0.0,-64.71669,-73.28285
7.9e-05,0.0,0.0,-63.883698,-73.240875
8e-05,0.0,0.0,-63.051292,-73.19883
8.1e-05,0.0,0.0,-62.219524,-73.15669
8.2e-05,0.0,0.0,-61.388447,-73.11443
8.3e-05,0.0,0.0,-60.558117,-73.07202
8.4e-05,0.0,0.0,-59.728584,-73.029434
8.5e-05,0.0,0.0,-58.899906,-72.98665
8.6e-05,0.0,0.0,-58.072132,-72.94364
8.7e-05,0.0,0.0,-57.24532,-72.90038
8.8e-05,0.0,-390.91086,-56.419518,-72.85684
8.9e-05,0.0,-390.91003,-57.867706,-72.81305
9e-05,0.0,-390.90955,-59.300053,-72.76904
9.1e-05,0.0,-390.90906,-60.106247,-72.72486
9.2e-05,0.0,-390.90854,-60.91336,-72.68054
9.3e-05,0.0,-390.90802,-61.72133,-72.636116
9.4e-05,0.0,-390.9075,-62.530098,-72.591606
9.5e-05,0.0,-390.90698,-63.339607,-72.54704
9.6e-05,0.0,-390.90646,-64.1498,-72.502464
9.7e-05,0.0,-390.9059,-64.960625,-72.457886
9.8e-05,0.0,-390.90536,-65.77201,-72.41335
9.9e-05,0.0,-390.9048,-66.58391,-72.36888
0.0001,390.9049,-390.9049,-67.396255,-72.3245
0.000101,0.0,0.0,-64.48029,-72.280174
0.000102,0.0,0.0,-64.15356,-72.23587
0.000103,0.0,0.0,-62.70216,-72.191536
0.000104,0.0,0.0,-61.88755,-72.14715
0.000105,0.0,0.0,-61.07359,-72.10267
0.000106,0.0,0.0,-60.260326,-72.05809
0.000107,0.0,0.0,-59.447815,-72.01336
0.000108,0.0,0.0,-58.636112,-71.96848
0.000109,0.0,-408.74863,-57.82526,-71.92341
0.00011,0.0,-408.74783,-59.221165,-71.878174
0.000111,0.0,-408.7473,-60.66907,-71.8328
0.000112,0.0,-408.7468,-61.564068,-71.78735
0.000113,0.0,-408.74625,-62.459824,-71.74185
0.000114,0.0,-408.7457,-63.356274,-71.69634
0.000115,0.0,-408.74515,-64.25336,-71.65084
0.000116,0.0,-408.7446,-65.151,-71.60539
0.000117,0.0,-408.74402,-66.04915,-71.56001
0.000118,0.0,-408.74344,-66.94774,-71.514755
0.000119,0.0,-408.74286,-67.8467,-71.469635
0.00012,0.0,-408.74225,-68.74597,-71.42469
0.000121,408.74225,-408.74225,-69.64549,-71.379944
0.000122,0.0,0.0,-66.7792,-71.335365
0.000123,0.0,0.0,-66.52735,-71.290924
0.000124,0.0,0.0,-65.22636,-71.24656
0.000125,0.0,0.0,-64.42372,-71.20227
0.000126,0.0,0.0,-63.62149,-71.158005
0.000127,0.0,0.0,-62.819725,-71.113754
0.000128,0.0,0.0,-62.01848,-71.06947
0.000129,0.0,0.0,-61.217793,-71.02516
0.00013,0.0,0.0,-60.417725,-70.98077
0.000131,0.0,0.0,-59.61833,-70.93629
0.000132,0.0,0.0,-58.81965,-70.891685
0.000133,0.0,0.0,-58.02174,-70.84694
0.000134,0.0,0.0,-57.22466,-70.80202
0.000135,0.0,0.0,-56.428448,-70.75691
0.000136,0.0,0.0,-55.633163,-70.71158
0.000137,0.0,0.0,-54.838852,-70.66601
0.000138,408.74493,-408.74493,-54.045574,-70.62017
0.000139,0.0,-408.74448,-52.280083,-70.57402
0.00014,0.0,-408.7436,-52.99249,-70.52756
0.000141,0.0,-408.7431,-54.671864,-70.48081
0.000142,0.0,-408.74258,-55.586327,-70.43384
0.000143,0.0,-408.74207,-56.50187,-70.38667
0.000144,0.0,-408.74155,-57.418415,-70.33933
0.000145,0.0,-408.74103,-58.33591,-70.29187
0.000146,0.0,-408.74048,-59.25428,-70.244316
0.000147,0.0,-408.73993,-60.173462,-70.19669
0.000148,0.0,-408.73938,-61.093395,-70.14905
0.000149,0.0,-408.7388,-62.014008,-70.1014
0.00015,0.0,-408.73825,-62.935234,-70.053795
0.000151,0.0,0.0,-63.85701,-70.00626
0.000152,0.0,0.0,-62.35721,-69.958786
0.000153,0.0,0.0,-60.967777,-69.91133
0.000154,0.0,0.0,-60.1879,-69.863846
0.000155,0.0,0.0,-59.408634,-69.81633
0.000156,0.0,0.0,-58.630028,-69.76873
0.000157,0.0,0.0,-57.85213,-69.72105
0.000158,0.0,0.0,-57.074993,-69.67324
0.000159,390.9152,-390.9152,-56.298664,-69.62529
0.00016,0.0,-390.91467,-54.43781,-69.577156
0.000161,0.0,-390.91385,-55.09972,-69.52883
0.000162,0.0,-390.9133,-56.48463,-69.48032
0.000163,0.0,-390.91278,-57.340893,-69.4317
0.000164,0.0,-390.91223,-58.198032,-69.38299
0.000165,0.0,-390.91168,-59.056,-69.334206
0.000166,0.0,-390.9111,-59.914722,-69.28539
0.000167,0.0,-390.91055,-60.774147,-69.23659
0.000168,0.0,-390.90997,-61.63421,-69.187805
0.000169,0.0,-390.90936,-62.494843,-69.13909
0.00017,0.0,-390.90878,-63.35599,-69.09046
0.000171,0.0,-390.90817,-64.21759,-69.04196
0.000172,0.0,0.0,-65.079575,-68.993614
0.000173,0.0,0.0,-63.8304,-68.945404
0.000174,0.0,0.0,-62.634975,-68.897316
0.000175,0.0,0.0,-61.869125,-68.8493
0.000176,0.0,0.0,-61.103703,-68.80132
0.000177,0.0,0.0,-60.338757,-68.75338
0.000178,0.0,0.0,-59.574337,-68.70544
0.000179,0.0,0.0,-58.81049,-68.65747
0.00018,0.0,0.0,-58.047264,-68.60946
0.000181,0.0,0.0,-57.28471,-68.56138
0.000182,0.0,0.0,-56.522877,-68.5132
0.000183,0.0,0.0,-55.761814,-68.4649
0.000184,0.0,0.0,-55.001568,-68.41646
